label,asin,status,mustHave,priority,audience,countryCodes,ageMin,ageMax,tags
Lunettes de soleil mixtes,,active,no,medium,travel,IS,8,99,"islande,sunglasses,uv"
Sous vêtements Thermiques hommes,,active,no,medium,travel,IS,8,99,"base-layer,cold-weather,islande,thermal,thermals"
Https,,active,no,medium,travel,IS,8,99,islande
Masque anti vents,,active,no,medium,travel,IS,8,99,"islande,mask,wind"
Crampons pour chaussures,,active,no,medium,travel,IS,8,99,"hiking,ice,islande,shoes,traction"
Sac a dos Waterproof bas de gamme,,active,no,medium,travel,IS,8,99,"backpack,islande,waterproof"
Sac a dos Waterproof moyenne gamme,,active,no,medium,travel,IS,8,99,"backpack,islande,waterproof"
Sac a dos Waterproof haute gamme,,active,no,medium,travel,IS,8,99,"backpack,islande,waterproof"
Adaptateur prise européenne,,active,no,medium,travel,IS,8,99,"adapter,islande,power"
Lampe frontale,,active,no,medium,travel,IS,8,99,"headlamp,islande"
T-shirts (coton / technique respirant) homme ; https,,active,no,medium,travel,TH,8,99,"breathable,thailande,tshirt"
T-shirts (coton / technique respirant) femme ; https,,active,no,medium,travel,TH,8,99,"breathable,thailande,tshirt"
Coupe vent légers mixte ; https,,active,no,medium,travel,TH,8,99,"lightweight,thailande,windbreaker"
Serviette microfibre ; https,,active,no,medium,travel,TH,8,99,"microfiber,thailande,towel"
Chaussures randonnée prix 1; https,,active,no,medium,travel,TH,8,99,"hiking,shoes,thailande"
Chaussures randonnée prix 2; https,,active,no,medium,travel,TH,8,99,"hiking,shoes,thailande"
Chaussures randonnée prix 3; https,,active,no,medium,travel,TH,8,99,"hiking,shoes,thailande"
Chaussure rando enfant mixte,,active,no,medium,travel,TH,8,99,thailande
Claquettes mixte,,active,no,medium,travel,TH,8,99,"sandals,slides,thailande"
Claquettes enfant,,active,no,medium,travel,TH,8,99,"sandals,slides,thailande"
Lunettes de soleil UV400 mixte ; https,,active,no,medium,travel,TH,8,99,"sunglasses,thailande,uv"
Crème solaire SPF 50+,,active,no,medium,travel,TH,8,99,"spf50,sunscreen,thailande"
Baume à lèvres hydratant,,active,no,medium,travel,TH,8,99,"lip-balm,thailande"
Spray anti-moustique,,active,no,medium,travel,TH,8,99,"insect-repellent,thailande"
Adaptateur de prise universel,,active,no,medium,travel,TH,8,99,"adapter,power,thailande"
Lampe frontale,,active,no,medium,travel,TH,8,99,"headlamp,thailande"
Gourdes isothermes,,active,no,medium,travel,TH,8,99,"bottle,insulated,thailande"
Sac a dos randonnée,,active,no,medium,travel,TH,8,99,"backpack,hiking,thailande,waterproof"
Mini ventilateur portatif,,active,no,medium,travel,TH,8,99,"fan,portable,thailande"
Brumisateur,,active,no,medium,travel,TH,8,99,"mister,spray,thailande"
T-shirts (coton / technique respirant) homme ; https,,active,no,medium,travel,MA,8,99,"breathable,maroc,tshirt"
T-shirts (coton / technique respirant) femme ; https,,active,no,medium,travel,MA,8,99,"breathable,maroc,tshirt"
Coupe vent légers mixte ; https,,active,no,medium,travel,MA,8,99,"lightweight,maroc,windbreaker"
Serviette microfibre ; https,,active,no,medium,travel,MA,8,99,"maroc,microfiber,towel"
Chaussures randonnée prix 1; https,,active,no,medium,travel,MA,8,99,"hiking,maroc,shoes"
Chaussures randonnée prix 2; https,,active,no,medium,travel,MA,8,99,"hiking,maroc,shoes"
Chaussures randonnée prix 3; https,,active,no,medium,travel,MA,8,99,"hiking,maroc,shoes"
Chaussure rando enfant mixte,,active,no,medium,travel,MA,8,99,maroc
Claquettes mixte,,active,no,medium,travel,MA,8,99,"maroc,sandals,slides"
Claquettes enfant,,active,no,medium,travel,MA,8,99,"maroc,sandals,slides"
Lunettes de soleil UV400 mixte ; https,,active,no,medium,travel,MA,8,99,"maroc,sunglasses,uv"
Crème solaire SPF 50+,,active,no,medium,travel,MA,8,99,"maroc,spf50,sunscreen"
Baume à lèvres hydratant,,active,no,medium,travel,MA,8,99,"lip-balm,maroc"
Spray anti-moustique,,active,no,medium,travel,MA,8,99,"insect-repellent,maroc"
Adaptateur de prise universel,,active,no,medium,travel,MA,8,99,"adapter,maroc,power"
Lampe frontale,,active,no,medium,travel,MA,8,99,"headlamp,maroc"
Gourdes isothermes,,active,no,medium,travel,MA,8,99,"bottle,insulated,maroc"
Sac a dos randonnée,,active,no,medium,travel,MA,8,99,"backpack,hiking,maroc,waterproof"
Mini ventilateur portatif,,active,no,medium,travel,MA,8,99,"fan,maroc,portable"
Brumisateur,,active,no,medium,travel,MA,8,99,"maroc,mister,spray"
Thermomètre digital,,active,no,medium,travel,MA,8,99,"maroc,thermometer"
Batterie externe ; https,,active,no,medium,travel,MA,8,99,"maroc,powerbank"
T-shirts (coton / technique respirant) homme ; https,,active,no,medium,travel,BR,8,99,"breathable,bresil,tshirt"
T-shirts (coton / technique respirant) femme ; https,,active,no,medium,travel,BR,8,99,"breathable,bresil,tshirt"
Coupe vent légers mixte ; https,,active,no,medium,travel,BR,8,99,"bresil,lightweight,windbreaker"
Serviette microfibre ; https,,active,no,medium,travel,BR,8,99,"bresil,microfiber,towel"
Chaussures randonnée prix 1; https,,active,no,medium,travel,BR,8,99,"bresil,hiking,shoes"
Chaussures randonnée prix 2; https,,active,no,medium,travel,BR,8,99,"bresil,hiking,shoes"
Chaussures randonnée prix 3; https,,active,no,medium,travel,BR,8,99,"bresil,hiking,shoes"
Chaussure rando enfant mixte,,active,no,medium,travel,BR,8,99,bresil
Claquettes mixte,,active,no,medium,travel,BR,8,99,"bresil,sandals,slides"
Claquettes enfant,,active,no,medium,travel,BR,8,99,"bresil,sandals,slides"
Lunettes de soleil UV400 mixte ; https,,active,no,medium,travel,BR,8,99,"bresil,sunglasses,uv"
Crème solaire SPF 50+,,active,no,medium,travel,BR,8,99,"bresil,spf50,sunscreen"
Baume à lèvres hydratant,,active,no,medium,travel,BR,8,99,"bresil,lip-balm"
Spray anti-moustique,,active,no,medium,travel,BR,8,99,"bresil,insect-repellent"
Adaptateur de prise universel,,active,no,medium,travel,BR,8,99,"adapter,bresil,power"
Lampe frontale,,active,no,medium,travel,BR,8,99,"bresil,headlamp"
Gourdes isothermes,,active,no,medium,travel,BR,8,99,"bottle,bresil,insulated"
Sac a dos randonnée,,active,no,medium,travel,BR,8,99,"backpack,bresil,hiking,waterproof"
Mini ventilateur portatif,,active,no,medium,travel,BR,8,99,"bresil,fan,portable"
T-shirts (coton / technique respirant) homme ; https,,active,no,medium,travel,US,8,99,"breathable,states,tshirt"
T-shirts (coton / technique respirant) femme ; https,,active,no,medium,travel,US,8,99,"breathable,states,tshirt"
Coupe vent légers mixte ; https,,active,no,medium,travel,US,8,99,"lightweight,states,windbreaker"
Serviette microfibre ; https,,active,no,medium,travel,US,8,99,"microfiber,states,towel"
Chaussures randonnée prix 1; https,,active,no,medium,travel,US,8,99,"hiking,shoes,states"
Chaussures randonnée prix 2; https,,active,no,medium,travel,US,8,99,"hiking,shoes,states"
Chaussures randonnée prix 3; https,,active,no,medium,travel,US,8,99,"hiking,shoes,states"
Chaussure rando enfant mixte,,active,no,medium,travel,US,8,99,states
Claquettes mixte,,active,no,medium,travel,US,8,99,"sandals,slides,states"
Claquettes enfant,,active,no,medium,travel,US,8,99,"sandals,slides,states"
Lunettes de soleil UV400 mixte ; https,,active,no,medium,travel,US,8,99,"states,sunglasses,uv"
Crème solaire SPF 50+,,active,no,medium,travel,US,8,99,"spf50,states,sunscreen"
Baume à lèvres hydratant,,active,no,medium,travel,US,8,99,"lip-balm,states"
Spray anti-moustique,,active,no,medium,travel,US,8,99,"insect-repellent,states"
Adaptateur de prise universel,,active,no,medium,travel,US,8,99,"adapter,power,states"
Lampe frontale,,active,no,medium,travel,US,8,99,"headlamp,states"
Gourdes isothermes,,active,no,medium,travel,US,8,99,"bottle,insulated,states"
Sac a dos randonnée,,active,no,medium,travel,US,8,99,"backpack,hiking,states,waterproof"
Mini ventilateur portatif,,active,no,medium,travel,US,8,99,"fan,portable,states"
